Badstr,60,50,2,10,30,90,160,250,braun,brown,0.02626496
Turmstr,60,50,4,20,60,180,320,450,braun,brown,0.02226573
Südbahnhof,200,0,25,200,200,200,200,200,bahnhof,black,0.02875021
Chausseestr,100,50,6,30,90,270,400,550,hellblau,lightblue,0.02332429
Elisenstr,100,50,6,30,90,270,400,550,hellblau,lightblue,0.02386774
Poststr,120,50,8,40,100,300,450,600,hellblau,lightblue,0.02354172
Seestr,140,100,10,50,150,450,625,750,rosa,pink,0.02779016
E-Werk,150,0,28,70,70,70,70,70,versorgung,cyan,0.0239189
Hafenstr,140,100,10,50,150,450,625,750,rosa,pink,0.02457333
Neue_Str,160,100,12,60,180,500,700,900,rosa,pink,0.02542354
Westbahnhof,200,0,25,200,200,200,200,200,bahnhof,black,0.02698099
Münchner_Str,180,100,14,70,200,550,700,950,orange,orange,0.02832001
Wiener_Str,180,100,14,70,200,550,750,950,orange,orange,0.0292934
Berliner_Str,200,100,16,80,220,600,800,1000,orange,orange,0.0304842
Theaterstr,220,150,18,90,250,700,875,1050,rot,red,0.02784076
Museumstr,220,150,18,90,250,700,875,1050,rot,red,0.02668846
Opernplatz,240,150,20,100,300,750,925,1100,rot,red,0.03118322
Nordbahnhof,200,0,25,200,200,200,200,200,bahnhof,black,0.02862967
Lessingstr,260,150,22,110,330,800,975,1150,gelb,yellow,0.02686225
Schillerstr,260,150,22,110,330,800,975,1150,gelb,yellow,0.02671266
Wasserwerk,150,0,28,70,70,70,70,70,versorgung,cyan,0.02645143
Goethestr,280,150,24,120,360,850,1025,1200,gelb,yellow,0.02614498
Rathausplatz,300,200,26,130,390,900,1100,1275,grün,green,0.02673839
Hauptstr,300,200,26,130,390,900,1100,1275,grün,green,0.02603082
Bahnhofstr,320,200,28,150,450,1000,1200,1400,grün,green,0.02463592
Hauptbahnhof,200,0,25,200,200,200,200,200,bahnhof,black,0.02542724
Parkstr,350,200,35,175,500,1100,1300,1500,dunkelblau,darkblue,0.02147557
Schlossalle,400,200,50,200,600,1400,1700,2000,dunkelblau,darkblue,0.02602864
